participant_id,session,file_name,trial_type,trial,phase,swap_count,choice,chosen_logo,rt_s,outcome,points,is_optimal,regret,usable,position_in_bandit_stream,food_bonus_cue,cue_type,target_rt_ms,adaptive_window_ms,target_hit,target_too_fast,target_no_response
1,1,sub-001_ses-001_1.csv,bandit,43.0,1.0,0.0,3.0,heart,0.3346,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,44.0,1.0,0.0,2.0,triangle,0.2349,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,45.0,1.0,0.0,1.0,circle,0.2495,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,46.0,1.0,0.0,1.0,circle,0.3617,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,47.0,1.0,0.0,1.0,circle,0.5495,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,48.0,1.0,0.0,1.0,circle,0.3973,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,49.0,1.0,0.0,1.0,circle,0.5279,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,50.0,1.0,0.0,1.0,circle,0.5701,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,51.0,1.0,0.0,1.0,circle,0.9397,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,52.0,1.0,0.0,1.0,circle,0.4681,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,53.0,1.0,0.0,1.0,circle,0.5044,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,54.0,1.0,0.0,1.0,circle,0.5379,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,55.0,1.0,0.0,1.0,circle,0.2545,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,56.0,1.0,0.0,1.0,circle,0.5011,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,57.0,1.0,0.0,1.0,circle,0.5118,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,58.0,1.0,0.0,1.0,circle,0.3703,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,59.0,1.0,0.0,1.0,circle,0.3592,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,60.0,1.0,0.0,1.0,circle,0.5874,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,61.0,1.0,0.0,1.0,circle,0.3976,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,62.0,1.0,0.0,2.0,triangle,1.1954,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,63.0,1.0,0.0,1.0,circle,0.4073,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,64.0,1.0,0.0,1.0,circle,0.4097,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,65.0,1.0,0.0,1.0,circle,1.4638,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,66.0,1.0,0.0,1.0,circle,0.4427,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,67.0,1.0,0.0,1.0,circle,0.525,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,68.0,1.0,0.0,2.0,triangle,0.3539,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,69.0,2.0,1.0,1.0,circle,0.4724,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,70.0,2.0,1.0,3.0,heart,0.3357,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,71.0,2.0,1.0,3.0,heart,0.4342,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,72.0,2.0,1.0,3.0,heart,0.3446,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,73.0,2.0,1.0,3.0,heart,0.4021,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,74.0,2.0,1.0,3.0,heart,0.448,reward,10.0,1.0,0.0,True,,,,,,,,
