participant_id,session,file_name,cue_type,n_probes,hit_rate,mean_target_rt_ms,median_target_rt_ms,premature_prop,no_response_prop,n_rt_valid
1,1,sub-001_ses-001_1.csv,food,16,0.6875,306.3076923,248,0.1875,0,13
1,1,sub-001_ses-001_1.csv,neutral,14,0.785714286,293.9285714,270.5,0,0,14
