trial,swap_count,choice_arm,reward,is_optimal,q_arm1_pre,q_arm2_pre,q_arm3_pre,q_chosen_pre,p_choose_arm1,p_choose_arm2,p_choose_arm3,p_chosen,prediction_error,alpha_used,rt,participant_id,session,file_name
15,0,2,1,0.0,-0.9013825741024538,0.6940200099764027,-0.7779413151016228,0.6940200099764027,0.01723269589089499,0.9592485659587074,0.023518738150397678,0.9592485659587074,0.3059799900235973,0.8052152389611741,0.2835,1,1,sub-001_ses-001_1.csv
16,0,2,1,0.0,-0.9013825741024538,0.9403997607605913,-0.7779413151016228,0.9403997607605913,0.009441567796502301,0.9776728243948849,0.012885607808612726,0.9776728243948849,0.059600239239408714,0.8052152389611741,0.2564,1,1,sub-001_ses-001_1.csv
17,0,1,1,1.0,-0.9013825741024538,0.9883907816418949,-0.7779413151016228,-0.9013825741024538,0.00838767062160935,0.9801650532069565,0.011447276171434168,0.00838767062160935,1.901382574102454,0.8052152389611741,1.271,1,1,sub-001_ses-001_1.csv
18,0,1,1,1.0,0.6296396496600659,0.9883907816418949,-0.7779413151016228,0.6296396496600659,0.2858914321185712,0.7058648240808142,0.008243743800614545,0.2858914321185712,0.3703603503399341,0.8052152389611741,0.4873,1,1,sub-001_ses-001_1.csv
19,0,1,0,1.0,0.9278594476607801,0.9883907816418949,-0.7779413151016228,0.9278594476607801,0.45906445308958305,0.5346909305286189,0.006244616381798152,0.45906445308958305,-1.9278594476607802,0.7779413151016228,0.4852,1,1,sub-001_ses-001_1.csv
20,0,2,0,0.0,-0.5719020663835354,0.9883907816418949,-0.7779413151016228,0.9883907816418949,0.019030469267101214,0.9696451161392431,0.011324414593655805,0.9696451161392431,-1.9883907816418949,0.7779413151016228,0.4681,1,1,sub-001_ses-001_1.csv
21,0,3,0,0.0,-0.5719020663835354,-0.5584605579645445,-0.7779413151016228,-0.7779413151016228,0.3802988458818352,0.3933976541987055,0.22630349991945933,0.22630349991945933,-0.2220586848983772,0.7779413151016228,0.3894,1,1,sub-001_ses-001_1.csv
22,0,1,1,1.0,-0.5719020663835354,-0.5584605579645445,-0.9506899404612033,-0.5719020663835354,0.41330364340644804,0.42753925116668645,0.1591571054268656,0.41330364340644804,1.5719020663835352,0.8052152389611741,0.31,1,1,sub-001_ses-001_1.csv
23,0,1,1,1.0,0.6938174316230462,-0.5584605579645445,-0.9506899404612033,0.6938174316230462,0.9447178986064112,0.040285350278917297,0.014996751114671563,0.9447178986064112,0.3061825683769538,0.8052152389611741,0.4862,1,1,sub-001_ses-001_1.csv
24,0,1,1,1.0,0.9403603015844411,-0.5584605579645445,-0.9506899404612033,0.9403603015844411,0.9695149478449039,0.022215165006038026,0.008269887149057879,0.9695149478449039,0.05963969841555894,0.8052152389611741,0.8821,1,1,sub-001_ses-001_1.csv
