n,core_alpha_r,core_alpha_mae,core_beta_r,core_log_beta_mae,phi_model_alpha_r,phi_model_alpha_mae,phi_model_beta_r,phi_model_log_beta_mae,phi_r,phi_s,phi_mae,phi_sign_accuracy,mean_delta_ll_phi_minus_core,median_delta_ll_phi_minus_core,mean_accuracy,pct_above_chance,final40,reward_rate,mean_alpha_t_sd,scenario,seed
300.0,0.6881240363511079,0.1279000786976954,0.26401766654656367,0.5292700054223889,0.6746085776592277,0.13511648990667172,0.591739639281309,0.2999213523743671,0.21850632998560077,0.7510052333914821,2.263267417034182,0.87,3.1557298657838797,1.4366143581381294,0.5216833333333333,0.98,0.576,0.6054666666666667,0.13775643958385578,signal_phi,pooled
300.0,0.7287097684864459,0.11079594120555854,0.3403533900569266,0.43090488738713456,0.6670520591465974,0.1317076671801544,0.52990294207868,0.29955896608061533,,,2.040761097197983,,0.5965902678388368,0.24464951296936022,0.5312333333333333,0.9866666666666667,0.5861666666666666,0.61285,6.087722918361275e-17,noise_null,pooled
100.0,0.6721993759023871,0.12429518545683144,0.19412802468335583,0.42565112031379604,0.6223965297486154,0.1335999718756927,0.9518858049756918,0.18065242270764378,0.22221551218008553,0.7788658865886589,3.0470391944871555,0.88,2.888220006692354,1.388042641589422,0.53645,0.99,0.59475,0.6126999999999999,0.13988882270966438,signal_phi,20260615
100.0,0.6837938115381588,0.11828375149509132,0.9417634133357788,0.20293106482269085,0.6142697816170247,0.14679876379446485,0.9418230588933678,0.19869949556180636,,,3.4156135255331987,,0.5975574514465254,0.25595952898085983,0.5324500000000001,0.98,0.59425,0.6132,5.911937606128958e-17,noise_null,20260615
100.0,0.678203211099789,0.14042984770864855,0.44447340288189346,0.660461560360522,0.6917332487038826,0.13749218617074066,0.49779012468734274,0.5289349112486833,0.4432869446802651,0.7302130213021302,0.9986167850714108,0.85,3.3268773122967827,1.497736387295788,0.5236999999999999,0.96,0.5829999999999999,0.6050500000000001,0.13018953330415586,signal_phi,20260616
100.0,0.7202546309011186,0.10938600365702963,0.24749420157927587,0.922488722920844,0.7048254564813596,0.12393088063096616,0.3737398510382808,0.5155362586841595,,,1.1188292422521238,,0.5941914740848075,0.22256908332027336,0.5411499999999999,0.99,0.60075,0.618,6.217248937900877e-17,noise_null,20260616
100.0,0.7210806755556625,0.11897520292760612,0.1450191082954579,0.5016973355928489,0.710016632188979,0.1342573116735818,0.9445701544316442,0.1901767231667742,0.2769082064963887,0.7532553255325533,2.744146271543981,0.88,3.2520922783625026,1.4050390984479506,0.5049,0.99,0.5502499999999999,0.59865,0.14319096273774715,signal_phi,20260617
100.0,0.7738203358287138,0.10471806846455474,0.9463190851149411,0.167294874417869,0.6713993805692487,0.12439335711503212,0.932654732889271,0.18444114399588016,,,1.5878405238086268,,0.5980218779851778,0.24945463488262476,0.5201000000000001,0.99,0.5634999999999999,0.60735,6.13398221105399e-17,noise_null,20260617
