seed,scenario,agent,design,true_alpha0,true_beta,true_phi,core_rec_alpha0,core_rec_beta,core_ll,phi_rec_alpha0,phi_rec_beta,rec_phi,phi_ll,delta_ll_phi_minus_core,accuracy,final40,reward_rate,mean_alpha_t,sd_alpha_t
20260615,signal_phi,0,"80/50/25, 2 reversals @69/130, 16 wanting",0.812361799521951,1.2319505118727985,0.4518710334339481,0.7281095702248699,1.3765577214335136,-195.44093798960586,0.6759326055831669,1.3915629883573903,-1.5141242319485708,-194.59037225825253,0.8505657313533277,0.525,0.575,0.63,0.7942542417430519,0.06627468404811528
20260615,signal_phi,1,"80/50/25, 2 reversals @69/130, 16 wanting",0.4492073461960777,4.100278935598666,1.397931728689605,0.4473719909601192,4.759990806485472,-99.0619873047265,0.4386097179800473,4.691022360358878,0.8991787220140784,-95.4544398191333,3.6075474855932015,0.64,0.8,0.675,0.46762771563374966,0.2644854729596472
20260615,signal_phi,2,"80/50/25, 2 reversals @69/130, 16 wanting",0.23092465855757752,6.792175424163648,-0.9524944357457593,0.28574795077189785,9.640390278513685,-31.098973752312816,0.3163596507006152,8.88022085498702,-0.6433294852511406,-26.77201168178064,4.326962070532176,0.835,1.0,0.73,0.27990667529744295,0.15117155986572675
20260615,signal_phi,3,"80/50/25, 2 reversals @69/130, 16 wanting",0.7420486911445049,4.092828845567479,1.186469287672869,0.6512329239244392,3.968002370382224,-106.04356093918946,0.7129719239853004,4.369215150969554,1.0579904848024975,-103.02728718391518,3.016273755274284,0.655,0.95,0.67,0.6898857481306024,0.22360749672590544
20260615,signal_phi,4,"80/50/25, 2 reversals @69/130, 16 wanting",0.49673423196181393,0.5112256663672011,0.8160717201601602,0.4650728875918219,0.3899948783777093,-218.3828778652832,0.09953306131154552,0.6775484950735651,1.0292023371026704,-218.1124703170464,0.27040754823681823,0.33,0.35,0.54,0.48544231945457983,0.18625446815582825
20260615,signal_phi,5,"80/50/25, 2 reversals @69/130, 16 wanting",0.1517490437912588,0.691109322498026,1.1150671117854913,0.8295315245192483,0.3339925551169023,-218.2554841217857,0.9999999912143508,0.4586948946094134,20.82705406300672,-216.31928938104886,1.9361947407368518,0.34,0.325,0.525,0.19440706445910608,0.15358153475095018
20260615,signal_phi,6,"80/50/25, 2 reversals @69/130, 16 wanting",0.1989856544511023,1.3963767290060407,0.316810795346665,0.21793708033005998,1.5174230036822303,-209.96774640837296,0.22213855799413298,1.6154582239854893,0.5182562648918058,-209.06052949036564,0.9072169180073217,0.435,0.425,0.555,0.2024037309699484,0.05071077707891326
20260615,signal_phi,7,"80/50/25, 2 reversals @69/130, 16 wanting",0.16918715540661436,1.0916499140686937,0.3681457339980204,0.2268801920624271,1.0250802056779107,-214.24631563303285,0.18526621506952137,1.0391086989338882,0.3008469560910939,-214.22052928958973,0.02578634344311581,0.44,0.45,0.555,0.1770706182994774,0.05109252592359114
20260615,signal_phi,8,"80/50/25, 2 reversals @69/130, 16 wanting",0.2946523834372472,1.161925296157916,0.34087015445820346,0.2325560551692509,1.1684564782166675,-211.07194470615235,0.24273224458522452,1.1512790299373674,-0.17408017323891178,-210.976109366574,0.09583533957834334,0.365,0.525,0.56,0.30291612240630506,0.07171056793181807
20260615,signal_phi,9,"80/50/25, 2 reversals @69/130, 16 wanting",0.4815974258277512,1.346999995284927,0.2406301825731899,0.6040346133010013,1.0978649625989174,-208.4961303999986,0.5464561200128388,1.2105158111528274,1.6579136313213256,-206.1602712685102,2.335859131488405,0.38,0.325,0.545,0.479052322325853,0.06134757172678309
